Name,RA,DEC,GLON,GLAT,r50,n07,pmRA,e_pmRA,pmDE,e_pmDE,plx,e_plx,Flag,Age,A,D_m,D_pc,X,Y,Z,Rgc
LP_1235,281.846,-5.255,27.793,-1.495,0.107,166,0.41,0.1,-2.124,0.098,0.469,0.043,NN,8.6,1.82,11.5,1998,1766,931,-52,6638
UPK_33,280.046,-4.333,27.795,0.508,0.197,30,-0.124,0.152,-11.012,0.225,1.945,0.044,NN,8.45,1.64,8.6,523,463,244,4,7880
UBC_110,281.62,-4.979,27.934,-1.157,0.092,70,-0.795,0.087,-2.619,0.088,0.247,0.032,tooRed,---,---,---,---,---,---,---,---
Dolidze_32,280.26,-4.054,28.139,0.46,0.092,17,-0.705,0.103,-2.027,0.065,0.464,0.044,NN,8.01,3,11.6,2085,1838,983,16,6575
Trumpler_35,280.741,-4.215,28.215,-0.041,0.047,39,-1.032,0.123,-2.219,0.098,0.319,0.047,NN,7.59,3.22,12.22,2784,2454,1316,-1,6031
NGC_6704,282.687,-5.203,28.22,-2.217,0.037,125,-0.73,0.104,-3.139,0.103,0.434,0.047,NN,8.3,2.23,11.55,2040,1796,963,-78,6614
UBC_353,280.854,-3.735,28.69,0.074,0.072,31,-0.62,0.098,-2.152,0.073,0.438,0.016,NN,7.47,3,11.69,2179,1911,1046,2,6512
LP_2117,282.302,-4.466,28.702,-1.54,0.184,526,1.089,0.139,0.094,0.15,0.607,0.066,NN,8.8,2.08,10.89,1507,1321,723,-40,7055
UBC_354,282.378,-4.386,28.789,-1.568,0.095,22,1.246,0.055,0.129,0.065,0.54,0.016,NN,8.3,2.38,11.36,1869,1637,899,-51,6762
LP_2068,283.967,-5.094,28.897,-3.303,0.071,110,-0.47,0.144,-4.333,0.12,0.503,0.054,NN,8.35,1.22,11.47,1969,1721,950,-113,6686
UBC_355,281.923,-3.817,29.111,-0.913,0.041,42,-0.692,0.078,-1.899,0.111,0.451,0.021,NN,7.39,2.45,11.33,1843,1610,896,-29,6788
FSR_0088,282.667,-4.158,29.143,-1.723,0.067,176,-1.589,0.165,-4.126,0.131,0.233,0.085,NN,8.22,3.62,12.43,3063,2674,1491,-92,5858
Collinder_359,270.598,3.26,30.228,12.394,1.562,269,0.637,0.234,-8.668,0.294,1.786,0.105,NN,7.57,0.51,8.69,546,461,268,117,7883
IC_4665,266.554,5.615,30.514,17.055,0.506,167,-0.909,0.28,-8.52,0.283,2.868,0.129,NN,7.52,0.45,7.75,354,292,172,104,8049
UPK_38,280.829,-1.654,30.544,1.054,0.082,29,-1.102,0.274,-5.202,0.233,1.675,0.119,NN,7.16,2.09,8.9,601,518,305,11,7827
Berkeley_79,281.25,-1.146,31.178,0.909,0.046,79,-0.118,0.134,-1.554,0.129,0.402,0.057,NN,8.24,2.68,11.78,2272,1944,1176,36,6503
