"Cluster","RA_ICRS","e_RA_ICRS","DE_ICRS","e_DE_ICRS","GLON","e_GLON","GLAT","e_GLAT","adeg","plx","e_plx","pmRA","e_pmRA","pmDE","e_pmDE","age","e_age","AG","Z","RV","s_RV","N","o_RV","_RA.icrs","_DE.icrs"
"OC-0090",298.069867,0.042732,29.393746,0.032516,65.694502,0.027257,1.166567,0.041239,0.04943277,0.224711,0.002091,-2.472737,0.076386,-5.093329,0.103753,6.9,0.16,2.32,0.028,"            ","            ",16,0,298.06987961,29.39376864
"OC-0091",299.643783,0.027864,30.808235,0.020398,67.60978,0.017097,0.733665,0.026392,0.03144591,0.175456,0.014576,-3.635201,0.05889,-6.04364,0.068243,7.3,0.17,1.26,0.018,4.506671,1.714437,51,2,299.64380181,30.80826186
"OC-0092",299.545908,0.020012,30.876595,0.013751,67.624104,0.014875,0.841042,0.016213,0.02200289,0.167084,0.00635,-2.620079,0.039016,-4.90889,0.064114,8.3,0.19,3.64,0.028,"            ","            ",15,0,299.54592157,30.87661682
"OC-0093",299.25584,0.052459,31.611212,0.043349,68.121779,0.04475,1.435681,0.043287,0.06226015,0.320784,0.012652,-2.357643,0.107051,-4.20763,0.175906,9,0.21,2.78,0.028,"            ","            ",53,0,299.2558523,31.6112307
"OC-0094",300.839649,0.094051,30.781957,0.056122,68.129709,0.056941,-0.152692,0.080232,0.0983842,0.236792,0.002685,-2.940735,0.210166,-5.314094,0.150958,7.1,0.16,1.92,0.028,14.74282,"            ",15,1,300.83966421,30.78198062
"OC-0095",304.140862,0.035242,29.739423,0.062293,68.809058,0.049527,-3.111626,0.048693,0.06945453,0.54234,0.0253,-3.673387,0.257002,-5.583284,0.150942,6.1,0.14,3.6,0.02,"            ","            ",39,0,304.1408808,29.73944781
"OC-0096",298.795879,0.041286,33.506117,0.025098,69.542818,0.031407,2.748822,0.028825,0.04262957,0.370761,0.006729,-1.999803,0.168891,-5.785906,0.168914,6.4,0.15,2.16,0.028,"            ","            ",15,0,298.79588966,33.50614272
"OC-0097",299.838602,0.069678,33.751116,0.054642,70.20402,0.054099,2.134459,0.058476,0.07966269,0.274947,0.00322,-3.504519,0.071802,-6.476093,0.061075,6.2,0.14,0.28,0.017,"            ","            ",17,0,299.83862073,33.75114478
"OC-0098",300.319055,0.022606,33.618081,0.048908,70.301132,0.039026,1.724444,0.034994,0.05241764,0.276499,0.003002,-2.315449,0.061455,-5.107163,0.066941,8.1,0.19,0.68,0.016,-2.677963,1.535724,15,2,300.31906736,33.6181037
"OC-0099",300.333715,0.037244,33.631341,0.034053,70.318844,0.038318,1.721084,0.025577,0.04607008,0.326292,0.015877,-2.326102,0.14154,-5.058465,0.163952,7.1,0.16,3.48,0.028,"            ","            ",36,0,300.33372742,33.63136348
"OC-0100",302.914246,0.075589,33.660783,0.059942,71.500185,0.070842,-0.073437,0.050334,0.08690282,1.84925,0.041873,1.970556,0.405581,-1.205763,0.233361,8.2,0.19,1.62,0.019,-14.583555,1.668082,16,3,302.91423548,33.66078836
"OC-0101",302.495535,0.035572,34.967926,0.021737,72.40536,0.022456,0.930994,0.028604,0.03636565,0.164719,0.022756,-3.344089,0.105127,-5.162483,0.122278,6.2,0.14,2.62,0.028,"            ","            ",31,0,302.49555314,34.96794894
"OC-0102",301.79062,0.049877,35.613709,0.04778,72.636153,0.035405,1.764564,0.051716,0.06267423,0.537149,0.020731,-3.108457,0.320009,-6.707435,0.312318,6.9,0.16,2.6,0.019,"            ","            ",39,0,301.79063699,35.61373881
"OC-0103",301.604183,0.038703,36.417864,0.027705,73.233159,0.034295,2.324424,0.023738,0.04170899,0.367818,0.011105,-2.539449,0.085531,-5.122828,0.059264,7.3,0.17,2.24,0.017,"            ","            ",17,0,301.60419703,36.41788677
"OC-0104",303.092054,0.026785,35.759507,0.018854,73.334212,0.018607,0.957368,0.021949,0.02877463,0.167988,0.010797,-2.911258,0.055318,-5.326629,0.104159,8.1,0.19,0.46,0.027,"            ","            ",21,0,303.09206994,35.75953067
