"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
80,"UBC1081",297.95,0.04,33.52,0.04,69.19,0.03,3.36,0.04,0.17,0.02,-2.92,0.07,-6.15,0.07,-0.3,6.85,52,2,"a",8.564,5857,1.501,297.95,33.52
81,"UBC1082",297.24,0.04,34.08,0.04,69.37,0.04,4.15,0.03,0.15,0.02,-2.73,0.05,-5.5,0.05,"      ","     ",37,0," ",8.538,6169,1.085,297.24,34.08
82,"UBC1083",299.64,0.08,33.16,0.04,69.61,0.04,1.97,0.06,0.78,0.01,-0.74,0.05,-2.06,0.05,"      ","     ",18,0," ",8.1,1317,0.231,299.64,33.16
83,"UBC1084",300.91,0.05,32.68,0.04,69.77,0.04,0.81,0.04,0.46,0.02,-1.06,0.06,-2.02,0.06,"      ","     ",32,0," ",8.2,2348,2.748,300.91,32.68
84,"UBC1085",301.55,0.06,32.48,0.05,69.88,0.04,0.24,0.05,0.23,0.03,-2.81,0.07,-4.43,0.07,-10.27,0.22,62,2," ",8.771,4858,2.86,301.55,32.48
85,"UBC1086",300.09,0.08,33.29,0.08,69.92,0.07,1.71,0.08,0.29,0.02,-2.55,0.07,-5.38,0.07,-2.49,"     ",37,1," ",7.932,3447,1.639,300.09,33.29
86,"UBC1087",302.04,0.05,32.39,0.05,70.04,0.05,-0.15,0.03,0.6,0.01,-0.29,0.05,-1.82,0.04,"      ","     ",19,0," ",8.778,1758,1.041,302.04,32.39
87,"UBC1088",305.89,0.08,31.06,0.09,70.75,0.1,-3.61,0.05,0.55,0.03,-2.13,0.06,-5.17,0.06,"      ","     ",33,0," ",8.379,1915,1.609,305.89,31.06
88,"UBC1089",301.2,0.09,33.95,0.07,70.98,0.07,1.28,0.08,0.35,0.02,-1.99,0.05,-5.56,0.08,"      ","     ",35,0,"a",7.903,3025,1.726,301.2,33.95
89,"UBC1090",302.49,0.03,34.31,0.04,71.86,0.04,0.58,0.03,0.4,0.02,-0.67,0.03,-2.33,0.06,-3.23,1.22,20,2," ",8.565,2513,2.106,302.49,34.31
90,"UBC1091",301.56,0.1,36.32,0.13,73.13,0.13,2.3,0.09,0.34,0.02,-2.53,0.06,-5.12,0.06,"      ","     ",61,0," ",7.543,2994,1.585,301.56,36.32
91,"UBC1092",301.61,0.07,36.34,0.07,73.17,0.08,2.28,0.04,0.27,0.01,-2.99,0.05,-6.13,0.06,-1.18,"     ",28,1," ",7.128,3721,2.008,301.61,36.34
92,"UBC1093",302.99,0.1,35.71,0.08,73.25,0.08,1,0.07,0.28,0.02,-3.42,0.08,-5.18,0.1,-17.65,31.51,97,2,"a",7.404,3621,1.797,302.99,35.71
93,"UBC1094",302.93,0.13,35.79,0.11,73.29,0.12,1.08,0.1,0.2,0.02,-3.37,0.07,-5.49,0.1,-4.97,"     ",79,1,"a",7.138,4538,2.619,302.93,35.79
94,"UBC1095",303.43,0.06,36.75,0.04,74.32,0.04,1.28,0.05,0.14,0.03,-3.58,0.08,-5.67,0.08,"      ","     ",43,0,"a",8.617,7535,3.184,303.43,36.75
