"DB","DB_i","ID","RA_ICRS","DE_ICRS","GLON","GLAT","plx","pmRA","pmDE","fnames","UCC_ID","quad","dups_fnames","dups_probs","r_50","N_fixed","N_membs","fixed_cent","cent_flags","C1","C2","C3","N_50","GLON_m","GLAT_m","RA_ICRS_m","DE_ICRS_m","plx_m","pmRA_m","pmDE_m","Rv_m","N_Rv","N_ex_cls","dups_fnames_m","dups_probs_m"
"HUNT23","1800","HSC 15",278.9722,-33.29083,1.2681,-11.5282,0.096,-2.898,-4.45,"hsc15","UCC G001.2-11.5","Q1N","nan","nan",4.7,False,90,True,0,0.09,0.46,"DC",75,1.262,-11.52,278.967,-33.294,0.116,-2.836,-4.452,-59.242,2,0,"nan","nan"
"BICA19","3257","NGC 6519;ESO 456 41",270.88905,-29.74052,1.28,-3.78,"nan","nan","nan","ngc6519;eso45641","UCC G001.2-03.7","Q1N","nan","nan",6.9,False,60,True,0,0.21,0.7,"DB",38,1.265,-3.771,270.898,-29.731,0.072,-5.663,-4.142,"nan",0,3,"nan","nan"
"BICA19","21","Ryu 545",267.88056,-28.19898,1.3,-0.73,"nan","nan","nan","ryu545","UCC G001.3-00.7","Q1N","nan","nan",1.9,False,80,True,0,0.6,0.56,"BB",60,1.304,-0.737,267.881,-28.195,0.3,-0.176,-2.277,-14.94,1,0,"nan","nan"
"KHARCHENKO12;BICA19","870;22","MWSC 5708",287.98883,-36.31758,1.3038,-19.5223,"nan","nan","nan","mwsc5708","UCC G001.3-19.5","Q1N","nan","nan",3.6,False,25,True,0,0.14,0.21,"DD",0,1.292,-19.516,287.981,-36.34,0.175,-3.501,-5.079,71.233,1,0,"nan","nan"
"BICA19","23","Ryu 546",267.36284,-27.89138,1.33,-0.18,"nan","nan","nan","ryu546","UCC G001.3-00.1","Q1N","nan","nan",1.5,False,50,True,0,0.16,0.33,"DC",31,1.335,-0.184,267.364,-27.888,0.329,-0.306,-2.321,-21.132,4,0,"nan","nan"
"CHI23_3","140","CWWDL 1671",268.1044,-28.2058,1.3947,-0.9032,0.306,-0.091,-1.907,"cwwdl1671","UCC G001.3-00.9","Q1N","ubc1002","0.5",2.9,False,82,True,10,0.44,1.0,"CA",44,1.391,-0.901,268.11,-28.209,0.306,-0.036,-1.911,-14.584,5,6,"ubc1002;ufmg83","0.43;0.38"
"KHARCHENKO12;BICA19","1075;24","Dutra-Bica 28;DB 28;MWSC 2738",268.36232,-28.33272,1.4008,-1.1633,"nan","nan","nan","dutrabica28;db28;mwsc2738","UCC G001.4-01.1","Q1N","nan","nan",3.1,False,25,True,0,0.4,0.58,"CB",0,1.393,-1.163,268.368,-28.34,0.16,-1.164,-0.734,-45.685,1,3,"nan","nan"
"CASTRO22","1","UBC 1002",268.11,-28.2,1.4022,-0.9045,0.28,0.01,-1.96,"ubc1002","UCC G001.4-00.9","Q1N","cwwdl1671","0.5",8.5,False,151,True,0,0.81,1.0,"AA",67,1.405,-0.903,268.116,-28.197,0.274,0.014,-1.932,-8.924,9,46,"cwwdl1671;ufmg83","0.43;0.55"
"FERREIRA21;HUNT23","20;6065","UFMG 83",268.09751,-28.17784,1.4157,-0.8837,0.294,-0.062,-2.029,"ufmg83","UCC G001.4-00.8","Q1N","nan","nan",2.0,False,25,True,10,0.41,1.0,"CA",0,1.416,-0.895,268.112,-28.177,0.296,-0.021,-1.995,-14.142,4,8,"cwwdl1671;ubc1002","0.38;0.55"
"HE23","875","CWNU 2146",264.13804,-25.96159,1.462,3.28,0.656,1.872,-0.361,"cwnu2146","UCC G001.4+03.2","Q1P","nan","nan",7.3,False,40,False,0,0.94,0.6,"AB",23,1.506,3.28,264.165,-25.932,0.628,1.864,-0.361,8.835,3,2,"nan","nan"
